MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Age,Garage_Age,RemodAge,TotalSF,TotalBath,TotalPorchSF,logSP
60,RL,99.0,9.400960731584833,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.352079890296086,Gd,TA,PConc,Ex,TA,Av,GLQ,1.012127263661086,Unf,-0.3596623231834907,-0.8232554297926564,1136,GasA,Ex,Y,SBrkr,0.09481774599996219,1.2541580868223912,0,1.6716522309029676,1,0,2,1,4,1,Gd,10,Typ,1,Gd,BuiltIn,0.3712702419788715,Fin,3,872,TA,TA,Y,1.068195270708358,1.2828969132778452,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2007,WD,Normal,3,-1.0742144813951302,3,1.3111095701854398,3.5,0.982588775519311,12.777055016970678
60,RL,86.0,9.247732491193245,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1986,1987,Gable,CompShg,Plywood,Plywood,BrkFace,1.208765150862278,Gd,TA,CBlock,TA,TA,Gd,LwQ,-0.6383254467122667,ALQ,2.781623600569507,-2.0634069816011356,1502,GasA,Ex,Y,SBrkr,1.0881553694154797,1.2318266865091898,0,1.990284039383877,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,0.28341692433536037,Fin,2,576,TA,TA,Y,1.0954582923227243,1.0584241568310209,-0.40792062110509075,0,-0.2940036598327685,0,<None>,MnPrv,<None>,0,8,2007,WD,Normal,21,0.017842599761502702,20,1.9326294326703926,3.5,0.8272802683553715,12.614868865984633
20,RM,49.0,8.669227347271736,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,VinylSd,None,-0.8171343255986645,TA,Gd,CBlock,TA,TA,No,ALQ,0.22700183078126554,Unf,-0.3596623231834907,0.836794948271433,1162,GasA,Ex,Y,SBrkr,0.16951652873682382,-0.8700861080477102,0,-0.634880052317902,1,0,1,0,3,1,TA,6,Typ,0,<None>,Attchd,0.12074799936370985,Unf,1,220,Fa,TA,Y,0.9872223363873438,1.0681731480758263,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2006,WD,Normal,51,0.5594222484204049,1,-0.21446279015552744,2.0,0.589193389158695,11.745433036677351
80,RL,96.0,9.330431852234003,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,NAmes,PosN,Norm,1Fam,SLvl,7,7,1967,2007,Mansard,WdShake,Wd Sdng,Wd Sdng,BrkFace,1.3097713361669114,Gd,Gd,CBlock,Gd,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.5094095927112767,710,GasA,Ex,Y,SBrkr,1.724327502962621,1.2160918552285138,0,2.2666891584744193,0,0,2,1,5,1,Gd,11,Typ,1,Gd,BuiltIn,0.1509802499263658,Fin,2,564,TA,TA,Y,1.1496264971172465,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2010,WD,Normal,43,0.536757965849232,3,1.3980855547852917,2.5,0.589193389158695,12.396697137361691
45,RM,50.0,8.517393171418904,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,Av,BLQ,-0.1362188916344658,Unf,-0.3596623231834907,0.31212107990913046,720,GasA,Po,N,FuseF,-1.0097757719943348,-0.8700861080477102,0,-1.7263745303589864,0,0,1,0,2,1,TA,5,Typ,0,<None>,Detchd,0.05068616039720893,Unf,2,360,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,2.4545358621202222,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2007,WD,Normal,66,0.7042683653978611,57,-1.4771104633666006,1.0,0.6069023827265219,11.373674891823535
120,RL,32.0,9.291643823040218,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,BrkFace,BrkFace,None,-0.8171343255986645,Gd,TA,PConc,Gd,TA,Gd,GLQ,1.3847215636410468,Unf,-0.3596623231834907,-1.1105300497174937,1719,GasA,Ex,Y,SBrkr,1.410313281058087,-0.8700861080477102,0,0.5477708881941653,2,0,1,1,1,1,Gd,6,Typ,2,Gd,Attchd,0.3143100015949657,Fin,2,473,TA,TA,Y,0.9390675126871064,0.517124232386858,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2008,Con,Normal,15,-0.15197055844713597,15,1.1353133388935013,3.5,0.14587754730401764,12.688501881189456
20,RL,80.0,9.358846580275406,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,1.212112277285195,TA,TA,CBlock,TA,TA,No,Rec,0.6640853692877785,Unf,-0.3596623231834907,0.6949790090575038,1383,GasA,TA,Y,SBrkr,0.7200992018029762,-0.8700861080477102,0,-0.1144976063671404,0,0,1,1,3,1,TA,7,Typ,0,<None>,Attchd,0.14593295936784695,RFn,1,292,TA,TA,Y,-0.9490260586845501,0.7035976487081017,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2006,WD,Normal,46,0.5008650660765808,46,0.3616785363518881,1.5,-0.688917464308893,11.886218559372042
75,RL,0.0,9.383368881858544,Pave,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.8171343255986645,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.7376845639561301,844,GasA,Gd,N,FuseA,0.8593594633165857,1.13099123004808,0,1.2163676011834073,0,0,2,0,5,1,Gd,10,Typ,0,<None>,Detchd,-0.003891757151061355,Unf,2,441,TA,TA,Y,-0.9490260586845501,0.8374695951011406,2.4546814356446123,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2009,WD,Normal,93,0.8039730459135451,15,0.6176741622680159,2.0,0.9457580408399059,12.276069679344005
70,RM,60.0,8.764521909518802,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Shng,None,-0.8171343255986645,TA,TA,PConc,TA,TA,Mn,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.296513695464384,596,GasA,TA,N,SBrkr,-1.9609750279326328,1.1024819931296015,0,-0.5612876549158342,0,0,1,0,3,1,TA,6,Typ,0,<None>,Detchd,-0.053149348220352444,Unf,1,189,Fa,Fa,N,-0.9490260586845501,-1.0703598832348913,2.4530618054105764,0,-0.2940036598327685,0,<None>,GdWo,<None>,0,7,2009,WD,Normal,89,0.8694589119253676,59,-1.02059534109543,1.0,0.056488284685161635,11.264476926102368
90,RL,0.0,9.270964993792617,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,1.0572509332429383,TA,TA,CBlock,TA,TA,No,GLQ,-0.5283206450181582,Rec,2.7810183504321584,1.5532889007293418,1728,GasA,TA,Y,SBrkr,1.4268724304010085,-0.8700861080477102,0,0.5637965884866109,0,1,2,0,6,2,TA,10,Typ,0,<None>,Detchd,0.36088272423005974,Unf,1,352,TA,TA,Y,1.0147696811587719,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,11,2007,WD,Normal,43,-0.7943788446665072,43,1.1546360377498728,2.5,0.1631384343396761,11.686887175419702
20,RL,70.0,9.009080614161977,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1992,Gable,CompShg,Wd Sdng,Wd Sdng,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,No,Rec,0.9198889751364013,Unf,-0.3596623231834907,-0.6646434572007142,1056,GasA,Fa,Y,SBrkr,-0.137484937881093,-0.8700861080477102,0,-0.9220361742481791,1,0,1,0,3,1,TA,6,Typ,0,<None>,Attchd,0.1358486785665237,RFn,1,308,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,8,2007,WD,Normal,49,0.536757965849232,15,-0.518193937810854,2.0,-1.7028482440615262,11.842236406331557
20,RL,85.0,9.273878392780171,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3074902369649066,Gd,TA,PConc,Gd,TA,No,GLQ,1.1148198523571677,<None>,2.7814067790279595,1.767528712439047,3206,GasA,Ex,Y,SBrkr,1.2397486807823834,-0.8700861080477102,0,0.38307633695975474,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,0.36607475378556836,RFn,3,880,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,10,2009,WD,Normal,6,-0.6902261344556181,5,2.475730841144014,3.0,-1.7028482440615262,12.556733038263904
120,RM,59.0,9.011767474596178,Pave,<None>,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,1.1763459129930158,Gd,TA,PConc,Gd,TA,Av,GLQ,0.8148213192205743,Unf,-0.3596623231834907,0.37726405313254624,1358,GasA,Ex,Y,SBrkr,0.6621586243965316,-0.8700861080477102,0,-0.16958827778289973,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,0.3712702419788715,RFn,2,484,TA,TA,Y,1.0813478786015531,0.517124232386858,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2008,WD,Normal,4,-0.9191463733376205,4,0.29947509422367224,3.0,0.5073199975628725,12.240478903153711
60,RL,59.0,9.10974625674048,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,-0.8171343255986645,TA,TA,PConc,Gd,TA,Gd,GLQ,0.9056496910285777,Unf,-0.3596623231834907,-1.0380868464826525,943,GasA,Gd,Y,SBrkr,-0.49774335429812505,1.1326793945266618,0,0.3999215834553218,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,0.3401491808348666,Fin,2,472,TA,TA,Y,0.8751970014848166,0.6254952498727921,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2008,WD,Normal,10,-0.3917616524676007,10,0.1277577269275842,3.5,0.06261756812233439,12.165255859329688
190,RL,0.0,12.011644093954345,Grvl,<None>,IR1,HLS,AllPub,Corner,Sev,Timber,Norm,Norm,2fmCon,1.5Fin,5,6,1965,1965,Gable,CompShg,Plywood,Plywood,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,Gd,ALQ,1.1904880014300208,BLQ,2.7800884602042975,-1.095607852735292,1499,GasA,Ex,Y,SBrkr,1.2202140498923277,0.8287008226527786,0,0.6652489387146228,2,0,2,0,3,1,TA,7,Typ,2,Gd,Attchd,0.17120376020808561,Fin,2,529,TA,TA,Y,1.449159700081624,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,Shed,700,8,2008,WD,Normal,43,0.46241814043780827,43,0.9683793234413255,4.0,1.9618591301300266,12.34126328584159
20,RL,86.0,9.558035114334135,Pave,<None>,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,1.237498638609764,Gd,TA,PConc,Ex,TA,Gd,GLQ,1.1904880014300208,Unf,-0.3596623231834907,0.4424342691889727,1922,GasA,Ex,Y,SBrkr,1.764144579423109,-0.8700861080477102,0,0.891613632226772,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,0.3764691893871889,Fin,3,676,TA,TA,Y,1.0579210644525519,0.7616987474074622,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2007,WD,Normal,2,-1.2780412414318947,1,1.5562896372156692,3.0,0.5395985370647547,12.841132451487937
20,RL,70.0,9.119977931895791,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.1230655664510802,Gd,TA,PConc,Gd,TA,Av,GLQ,0.891170512065389,Unf,-0.3596623231834907,0.5377998069183866,1536,GasA,Ex,Y,SBrkr,1.0532244600118241,-0.8700861080477102,0,0.20375212149044683,1,0,2,0,3,1,Gd,7,Typ,0,<None>,Attchd,0.36088272423005974,RFn,2,532,TA,TA,Y,1.0813478786015531,0.9357479645840114,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2008,WD,Normal,6,-0.6902261344556181,5,0.727431889583155,3.0,0.7014340741370962,12.273735966890268
20,RL,91.0,9.557187177595935,Pave,<None>,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,1984,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,-0.8171343255986645,Gd,TA,CBlock,Gd,TA,Mn,ALQ,0.1365090813043699,Unf,-0.3596623231834907,0.9729938473231746,1208,GasA,Ex,Y,SBrkr,1.2241306794513798,-0.8700861080477102,0,0.3680299703019593,1,0,2,0,3,1,Gd,8,Typ,0,<None>,Attchd,0.2680169601126308,RFn,2,440,TA,TA,Y,0.9000227944537393,0.7035976487081017,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,Shed,400,5,2006,WD,Normal,22,0.07387454286388004,8,0.43903327377915735,3.0,0.15165276231672134,12.218500103788145
20,RL,66.0,9.425532393502772,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,1958,1998,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,1.2132122188735086,TA,TA,CBlock,TA,Fa,No,Rec,0.685197584340457,Unf,-0.3596623231834907,0.36210459290073255,1215,GasA,TA,Y,FuseA,0.3085851729735342,-0.8700861080477102,0,-0.5040954974296693,0,0,1,0,3,1,TA,6,Typ,0,<None>,Attchd,0.1358486785665237,Unf,1,297,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,3.4013362273428527,0,<None>,<None>,<None>,0,6,2009,WD,Normal,51,0.5594222484204049,11,-0.0713035454297938,1.0,0.5623080254195191,11.951186847493476
60,RL,85.0,9.56043370454936,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,-0.8171343255986645,Gd,TA,PConc,Gd,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.9308654794187704,967,GasA,Ex,Y,SBrkr,-0.33325459737589214,1.1852683879501034,0,0.8690114779123097,0,0,2,1,4,1,Gd,9,Typ,0,<None>,Attchd,0.36088272423005974,Fin,2,431,TA,TA,Y,0.9712449604156554,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2010,WD,Normal,8,-0.5230116963689764,8,0.4948170543701134,2.5,0.044152156215523285,12.220473454337986
20,RH,60.0,9.036106025364846,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,None,-0.8171343255986645,Fa,Fa,CBlock,TA,Fa,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.5289637004663564,721,GasA,Gd,Y,SBrkr,-0.8624080204988577,-0.8700861080477102,0,-1.591677007956494,0,0,1,0,2,1,TA,4,Typ,0,<None>,CarPort,0.09564880691973861,Unf,1,294,TA,TA,N,1.1619936568638756,-1.0703598832348913,2.425871202474971,0,-0.2940036598327685,0,<None>,<None>,<None>,0,9,2009,WD,Normal,59,0.6415462543831002,59,-1.4068768042888822,1.0,0.7346868211045743,11.31448672129398
90,RL,0.0,9.053101595549691,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,1949,1950,Gable,CompShg,Stucco,Stucco,BrkFace,1.330688234690467,TA,TA,Slab,<None>,<None>,<None>,<None>,-1.3528794921740805,<None>,-0.3596623231834907,-2.0634069816011356,0,Wall,Fa,N,FuseA,-0.18606736778542185,-0.8700861080477102,0,-0.9672824681035477,0,0,2,0,2,2,TA,6,Typ,0,<None>,Detchd,0.09063925408110478,Unf,2,400,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2006,WD,Normal,57,0.6221709573223885,56,-2.463278457883653,2.0,-1.7028482440615262,11.37940550085183
120,RL,63.0,9.088172738001974,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,1.4217669907995234,Ex,TA,PConc,Ex,TA,No,GLQ,-0.6383254467122667,Unf,-0.3596623231834907,1.8285068069213462,1684,GasA,Ex,Y,SBrkr,1.3450757963612703,-0.8700861080477102,0,0.4846978281106356,0,0,2,0,2,1,Ex,6,Typ,1,Ex,Attchd,0.3764691893871889,RFn,2,564,TA,TA,Y,1.3633036210808422,0.9228782565571646,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,7,2008,WD,Normal,3,-1.0742144813951302,3,1.0595444361010617,2.0,1.6962493671585197,12.491255347155263
160,RM,36.0,7.860570785538664,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,-0.8171343255986645,TA,TA,CBlock,Gd,TA,No,Rec,-0.09132260869978465,BLQ,2.7808772449832824,-0.7891599287551972,536,GasA,TA,Y,SBrkr,-2.2999517728573395,1.095694240739747,0,-0.7685411002200606,0,0,1,1,3,1,TA,4,Typ,0,<None>,Attchd,0.22710204210844584,Unf,1,336,TA,TA,Y,1.0648110329965799,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2010,WD,Normal,34,0.3275262378399432,34,-1.2558945296687396,1.5,0.3105170746456081,11.350418300109132
50,RL,65.0,8.769662508112274,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,TA,TA,BrkTil,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.9384352402629906,972,GasA,Gd,Y,SBrkr,-0.40130085623459716,1.105453211910165,0,0.28401975589214007,0,0,1,0,3,1,Fa,6,Typ,1,Gd,Detchd,0.04073212345088314,Unf,1,312,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,10,2006,WD,Normal,67,0.7126494273634206,56,0.08621116003250284,1.0,-1.7028482440615262,11.850832386224807
20,RL,0.0,9.455088847042777,Pave,<None>,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1960,1998,Hip,CompShg,MetalSd,MetalSd,None,-0.8171343255986645,TA,Gd,CBlock,TA,TA,Mn,BLQ,0.5888924061862517,Unf,-0.3596623231834907,0.012018604123108827,958,GasA,TA,Y,SBrkr,-0.4474922950730412,-0.8700861080477102,0,-1.2098426292787952,0,0,1,0,2,1,TA,5,Typ,0,<None>,Attchd,0.14593295936784695,RFn,1,301,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,Gar2,15500,4,2007,WD,Normal,47,0.5130966979385385,9,-0.8156283538003455,1.0,-1.7028482440615262,11.928347504569842
20,RL,0.0,9.77571099759397,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.7911561991310995,TA,TA,CBlock,TA,TA,No,BLQ,1.2026225106844348,Unf,-0.3596623231834907,-0.6714496571857369,1478,GasA,Ex,Y,FuseA,0.9310476401373903,-0.8700861080477102,0,0.08673163074134271,1,0,2,0,3,1,TA,6,Typ,2,Gd,Attchd,0.14593295936784695,Unf,2,498,TA,TA,Y,-0.9490260586845501,0.6491405582822926,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2009,WD,Normal,49,0.536757965849232,49,0.5916652358921911,3.0,-0.7488457787266655,11.967187086434018
160,RL,36.0,7.803435056952168,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,1.109257630183561,Gd,TA,PConc,Gd,TA,No,GLQ,0.6725980774600209,Unf,-0.3596623231834907,-0.7307512023001015,764,GasA,Ex,Y,SBrkr,-1.1685074467561078,1.1740143631369573,0,0.37744201853832354,1,0,2,1,2,1,Gd,6,Typ,0,<None>,BuiltIn,0.36607475378556836,RFn,2,474,TA,TA,Y,-0.9490260586845501,0.4691685823293793,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,10,2008,WD,Normal,5,-0.7943788446665072,4,-0.1253620866912528,3.5,-0.9279140318935362,11.944714374881176
60,RL,56.0,9.92485757827232,Pave,<None>,IR2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,1.468920258336339,Ex,TA,PConc,Ex,TA,No,GLQ,1.2798030328251049,Unf,-0.3596623231834907,-0.03800654150316338,1848,GasA,Ex,Y,SBrkr,1.6397207269027554,1.1779219625669048,0,1.9879614579993246,1,0,2,1,4,1,Ex,10,Typ,2,Ex,Attchd,0.3816715965875489,Fin,3,706,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,4,2006,New,Partial,1,-2.0986278134101255,0,2.2481292742139383,3.5,-1.7028482440615262,12.988043102265232
120,RL,68.0,8.964567702601611,Pave,<None>,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2007,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,1.3409299869438718,Ex,TA,PConc,Ex,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,2.063717047259551,1869,GasA,Ex,Y,SBrkr,1.6755330519025657,-0.8700861080477102,0,0.8052252818132235,0,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,0.3868774641567882,RFn,2,617,TA,TA,Y,1.1089053975184597,0.7883066790621045,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,12,2007,New,Partial,0,-2.0986278134101255,0,1.4492530999885043,2.0,0.6930310825509101,12.670001611311877
120,RL,0.0,8.570165076182343,Pave,<None>,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1986,1986,Gable,CompShg,Wd Sdng,Wd Sdng,None,-0.8171343255986645,TA,TA,PConc,Gd,TA,Gd,GLQ,1.0879431177029402,Unf,-0.3596623231834907,-0.19912116466413732,1453,GasA,Gd,Y,SBrkr,0.8768886892730652,-0.8700861080477102,0,0.034969496399007295,1,0,1,1,2,1,Gd,6,Typ,1,TA,Attchd,0.2782801543257532,RFn,2,445,TA,TA,Y,-0.9490260586845501,0.9724147992287226,-0.40792062110509075,0,3.401331221664005,0,<None>,<None>,<None>,0,12,2006,WD,Abnorml,20,0.017842599761502702,20,0.5320872828922346,2.5,0.6930310825509101,12.154784614286667
50,RL,60.0,9.114379980830272,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,VinylSd,None,-0.8171343255986645,TA,TA,CBlock,TA,Fa,Mn,LwQ,0.18648996130281587,Rec,2.781295385013924,-2.0634069816011356,616,GasA,TA,N,SBrkr,-1.8555743302685686,1.0651993546909926,0,-0.7712184500062279,0,1,1,0,3,1,TA,5,Typ,0,<None>,Detchd,0.05068616039720893,Unf,1,200,TA,Fa,Y,0.6319300992843311,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,3,2008,ConLw,Normal,67,0.7126494273634206,58,-1.121606094413376,1.5,-0.6547569870906668,11.461642696843066
30,RM,60.0,9.050288983827956,Pave,<None>,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,VinylSd,None,-0.8171343255986645,TA,Gd,BrkTil,TA,TA,No,Unf,-1.3528794921740805,Unf,-0.3596623231834907,0.3506681398618367,624,GasA,Gd,Y,SBrkr,-1.3576878583254768,-0.8700861080477102,0,-2.042475289336791,0,0,1,0,2,1,TA,5,Typ,0,<None>,Detchd,0.3764691893871889,Unf,2,484,TA,TA,Y,0.894005433153859,-1.0703598832348913,-0.40792062110509075,0,-0.2940036598327685,0,<None>,<None>,<None>,0,5,2010,WD,Normal,82,-0.7943788446665072,7,-1.8152469988317772,1.0,-0.14800793381778624,11.570259974415547
50,RL,60.0,9.036106025364846,Pave,<None>,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,2000,Gable,CompShg,Wd Sdng,MetalSd,None,-0.8171343255986645,TA,TA,CBlock,TA,TA,No,LwQ,0.4465424259431593,Unf,-0.3596623231834907,0.20862377791848022,940,GasA,Ex,Y,SBrkr,0.24782812766816764,1.0228780792416092,0,0.31864782738030306,0,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,0.04570743098421,Unf,1,240,TA,TA,Y,-0.9490260586845501,-1.0703598832348913,2.452010312321207,0,-0.2940036598327685,0,<None>,<None>,<None>,0,6,2006,WD,Normal,66,0.7042683653978611,6,0.0679289930353782,1.0,-0.13385152814225473,11.849404844423074
